Região e UF;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Região Norte;5.396;4.665;480;239;265;141;101;231;245;91;17;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;9.237;410;5.216;650;31;0
Rondônia;165;211;48;71;35;23;7;17;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0
Acre;537;89;40;0;4;8;4;12;9;14;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amazonas;1.878;800;217;104;146;43;28;60;110;54;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.791;4;7;0;0;0
Roraima;27;94;27;20;23;12;4;10;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;361;1;0;0;0;0
Pará;1.205;1.672;109;20;42;22;25;52;21;17;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;83;405;4.906;116;1;0
Amapá;80;1.366;22;17;11;9;10;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;296;534;30;0
Tocantins;1.504;433;17;7;4;24;23;58;61;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Região Nordeste;13.776;11.364;2.758;366;303;195;664;4.547;607;369;0;0;0;0;0;0;57;0;0;0;57;2;1;210;866;211;0;0;11;572;80;14;0;0
Maranhão;2.580;281;26;13;11;2;9;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;17;0;0;0
Piauí;1.282;156;54;4;8;7;8;161;19;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0
Ceará;2.771;4.704;393;134;87;37;125;864;29;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;840;211;0;0;0;19;7;3;0;0
Rio Grande do Norte;1.378;617;205;42;26;13;25;112;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0
Paraíba;1.735;764;369;32;8;33;59;342;49;35;0;0;0;0;0;0;0;0;0;0;57;0;0;9;0;0;0;0;0;66;0;0;0;0
Pernambuco;194;290;165;15;13;10;23;335;345;240;0;0;0;0;0;0;0;0;0;0;0;0;1;200;26;0;0;0;4;344;38;0;0;0
Alagoas;1.679;525;131;22;3;24;19;30;7;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;3;11;0;0
Sergipe;773;495;112;48;51;33;34;98;51;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;8;0;0;0
Bahia;1.384;3.532;1.303;56;96;36;362;2.557;100;14;0;0;0;0;0;0;57;0;0;0;0;1;0;0;0;0;0;0;3;80;7;0;0;0
Região Sudeste;22.202;10.893;2.635;1.002;354;346;2.083;45.503;618;359;15;1;1;0;0;2;0;0;0;0;0;32;1;8;10;2;0;0;29;18.426;2.259;12;10;0
Minas Gerais;8.100;5.354;1.828;325;97;60;74;794;43;9;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;143;22;0;0;0
Espírito Santo;8.664;1.422;228;31;32;33;6;35;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0
Rio de Janeiro;4.577;3.777;463;307;136;126;438;2.616;305;177;1;0;0;0;0;0;0;0;0;0;0;4;0;0;3;0;0;0;20;463;1.358;3;2;0
São Paulo;861;340;116;339;89;127;1.565;42.058;268;169;14;1;1;0;0;2;0;0;0;0;0;27;1;5;7;2;0;0;9;17.816;879;9;8;0
Região Sul;6.599;11.140;1.058;558;227;253;270;1.770;1.046;39;3;0;0;2;0;4;0;0;0;0;8;7;0;1;0;0;0;0;47;1.468;521;0;0;0
Paraná;1.846;3.144;273;101;9;33;73;546;909;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.071;377;0;0;0
Santa Catarina;852;1.477;28;8;25;30;39;491;61;25;1;0;0;2;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;297;107;0;0;0
Rio Grande do Sul;3.901;6.519;757;449;193;190;158;733;76;13;0;0;0;0;0;0;0;0;0;0;8;7;0;0;0;0;0;0;47;100;37;0;0;0
Região Centro-Oeste;13.498;4.470;766;231;113;37;208;1.613;265;50;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;25;24;0;0;0
Mato Grosso do Sul;121;1.142;442;64;68;17;11;155;46;21;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;10;0;0;0
Mato Grosso;776;2.765;177;14;14;6;21;54;19;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Goiás;8.229;292;83;77;21;11;101;526;69;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;5;0;0;0
Distrito Federal;4.372;271;64;76;10;3;75;878;131;11;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;11;8;0;0;0
Brasil;61.471;42.532;7.697;2.396;1.262;972;3.326;53.664;2.781;908;36;1;1;2;0;6;57;0;0;0;68;43;2;220;876;214;0;0;9.325;20.901;8.100;676;41;0
