RegiÃ£o e UF;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
RegiÃ£o Norte;5.396;4.665;480.0;239.0;265.0;141;101.0;231.0;245.0;91;17;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;9.237;410.0;5.216;650;31;0
RondÃ´nia;165.0;211.0;48.0;71.0;35.0;23;7.0;17.0;22.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0.0;6.0;0;0;0
Acre;537.0;89.0;40.0;0.0;4.0;8;4.0;12.0;9.0;14;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0
Amazonas;1.878;800.0;217.0;104.0;146.0;43;28.0;60.0;110.0;54;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.791;4.0;7.0;0;0;0
Roraima;27.0;94.0;27.0;20.0;23.0;12;4.0;10.0;22.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;361.0;1.0;0.0;0;0;0
ParÃ¡;1.205;1.672;109.0;20.0;42.0;22;25.0;52.0;21.0;17;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;83.0;405.0;4.906;116;1;0
AmapÃ¡;80.0;1.366;22.0;17.0;11.0;9;10.0;22.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;296.0;534;30;0
Tocantins;1.504;433.0;17.0;7.0;4.0;24;23.0;58.0;61.0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;1.0;0;0;0
RegiÃ£o Nordeste;13.776;11.364;2.758;366.0;303.0;195;664.0;4.547;607.0;369;0;0;0;0;0;0;57;0;0;0;57;2;1;210;866;211;0;0;11.0;572.0;80.0;14;0;0
MaranhÃ£o;2.58;281.0;26.0;13.0;11.0;2;9.0;48.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;10.0;17.0;0;0;0
PiauÃ­;1.282;156.0;54.0;4.0;8.0;7;8.0;161.0;19.0;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.0;3.0;0.0;0;0;0
CearÃ¡;2.771;4.704;393.0;134.0;87.0;37;125.0;864.0;29.0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;840;211;0;0;0.0;19.0;7.0;3;0;0
Rio Grande do Norte;1.378;617.0;205.0;42.0;26.0;13;25.0;112.0;7.0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;9.0;0.0;0;0;0
ParaÃ­ba;1.735;764.0;369.0;32.0;8.0;33;59.0;342.0;49.0;35;0;0;0;0;0;0;0;0;0;0;57;0;0;9;0;0;0;0;0.0;66.0;0.0;0;0;0
Pernambuco;194.0;290.0;165.0;15.0;13.0;10;23.0;335.0;345.0;240;0;0;0;0;0;0;0;0;0;0;0;0;1;200;26;0;0;0;4.0;344.0;38.0;0;0;0
Alagoas;1.679;525.0;131.0;22.0;3.0;24;19.0;30.0;7.0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;35.0;3.0;11;0;0
Sergipe;773.0;495.0;112.0;48.0;51.0;33;34.0;98.0;51.0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.0;6.0;8.0;0;0;0
Bahia;1.384;3.532;1.303;56.0;96.0;36;362.0;2.557;100.0;14;0;0;0;0;0;0;57;0;0;0;0;1;0;0;0;0;0;0;3.0;80.0;7.0;0;0;0
RegiÃ£o Sudeste;22.202;10.893;2.635;1.002;354.0;346;2.083;45.503;618.0;359;15;1;1;0;0;2;0;0;0;0;0;32;1;8;10;2;0;0;29.0;18.426;2.259;12;10;0
Minas Gerais;8.1;5.354;1.828;325.0;97.0;60;74.0;794.0;43.0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0.0;143.0;22.0;0;0;0
EspÃ­rito Santo;8.664;1.422;228.0;31.0;32.0;33;6.0;35.0;2.0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.0;4.0;0.0;0;0;0
Rio de Janeiro;4.577;3.777;463.0;307.0;136.0;126;438.0;2.616;305.0;177;1;0;0;0;0;0;0;0;0;0;0;4;0;0;3;0;0;0;20.0;463.0;1.358;3;2;0
SÃ£o Paulo;861.0;340.0;116.0;339.0;89.0;127;1.565;42.058;268.0;169;14;1;1;0;0;2;0;0;0;0;0;27;1;5;7;2;0;0;9.0;17.816;879.0;9;8;0
RegiÃ£o Sul;6.599;11.14;1.058;558.0;227.0;253;270.0;1.77;1.046;39;3;0;0;2;0;4;0;0;0;0;8;7;0;1;0;0;0;0;47.0;1.468;521.0;0;0;0
ParanÃ¡;1.846;3.144;273.0;101.0;9.0;33;73.0;546.0;909.0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;1.071;377.0;0;0;0
Santa Catarina;852.0;1.477;28.0;8.0;25.0;30;39.0;491.0;61.0;25;1;0;0;2;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0.0;297.0;107.0;0;0;0
Rio Grande do Sul;3.901;6.519;757.0;449.0;193.0;190;158.0;733.0;76.0;13;0;0;0;0;0;0;0;0;0;0;8;7;0;0;0;0;0;0;47.0;100.0;37.0;0;0;0
RegiÃ£o Centro-Oeste;13.498;4.47;766.0;231.0;113.0;37;208.0;1.613;265.0;50;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1.0;25.0;24.0;0;0;0
Mato Grosso do Sul;121.0;1.142;442.0;64.0;68.0;17;11.0;155.0;46.0;21;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.0;2.0;10.0;0;0;0
Mato Grosso;776.0;2.765;177.0;14.0;14.0;6;21.0;54.0;19.0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;1.0;0;0;0
GoiÃ¡s;8.229;292.0;83.0;77.0;21.0;11;101.0;526.0;69.0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;12.0;5.0;0;0;0
Distrito Federal;4.372;271.0;64.0;76.0;10.0;3;75.0;878.0;131.0;11;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1.0;11.0;8.0;0;0;0
Brasil;61.471;42.532;7.697;2.396;1.262;972;3.326;53.664;2.781;908;36;1;1;2;0;6;57;0;0;0;68;43;2;220;876;214;0;0;9.325;20.901;8.1;676;41;0
